course_name,course_type,institution,cutoff_2024,cutoff_2023,cutoff_2022,cutoff_2021
BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,Degree,MACHAKOS UNIVERSITY,36.61,36.144,36.857,34.515
BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING),Degree,KENYATTA UNIVERSITY,42.271,42.275,42.125,40.965
BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,Degree,TECHNICAL UNIVERSITY OF MOMBASA,35.195,37.156,36.813,34.401
BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),Degree,UNIVERSITY OF NAIROBI,41.798,41.835,41.321,40.593
BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),Degree,SOUTH EASTERN KENYA UNIVERSITY,31.719,31.83,33.403,31.256
BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),Degree,KENYATTA UNIVERSITY,40.925,41.109,41.033,40.409
BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,Degree,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,40.562,41.45,41.449,40.381
BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,Degree,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,37.579,37.487,37.987,36.161
BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,Degree,MACHAKOS UNIVERSITY,35.22,35.444,35.198,31.835
BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING),Degree,TECHNICAL UNIVERSITY OF KENYA,38.945,39.887,40.186,39.851
BACHELOR OF SCIENCE,Degree,CHUKA UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE,Degree,GARISSA UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE,Degree,KIRINYAGA UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE,Degree,KABARAK UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE,Degree,EGERTON UNIVERSITY,,15.683,16.974,17.459
BACHELOR OF SCIENCE (BSC.),Degree,UNIVERSITY OF EMBU,,15.683,16.974,17.459
