cluster_code,programme_name,requirements
9B,Bachelor of Science (Biotechnology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Microbiology and Biotechnology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Conservation Biology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Microbiology and Biotechnology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Genomic Sciences),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Microbiology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Forensic Biology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Microbiology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Genomic Science,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Biology (Botany or Zoology Option),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Zoology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science Industrial Biotechnology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Zoology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Technology (Biotechnology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Molecular Biology and Forensic Technology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Technology in Industrial Microbiology & Biotechnology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Botany),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Biotechnology and Biosafety,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Biochemistry and Molecular Biology),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Forensic Science),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Biochemistry and Molecular Biology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Biosciences,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Biochemistry),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Medical Microbiology,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Biochemistry,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science (Medical Biochemistry),MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9B,Bachelor of Science in Medical Biochemistry,MAT ALTERNATIVE A - C (PLAIN) BIO - C+ CHE – C (PLAIN)
9C,Bachelor of Science (Physics),MAT ALTERNATIVE A - C (PLAIN) PHY - C+
9C,Bachelor of Science in Physics,MAT ALTERNATIVE A - C (PLAIN) PHY - C+
9C,"Bachelor of Science (Physics, With IT)",MAT ALTERNATIVE A - C (PLAIN) PHY - C+
9C,Bachelor of Technology (Technical and Applied Physics),MAT ALTERNATIVE A - C (PLAIN) PHY - C+
9C,Bachelor of Technology in Applied Physics (Electronics & Instrumentation,MAT ALTERNATIVE A - C (PLAIN) PHY - C+
9D,Bachelor of Science (Chemistry),MAT ALTERNATIVE A - C (PLAIN) CHE - C+
9D,Bachelor of Science in Chemistry,MAT ALTERNATIVE A - C (PLAIN) CHE - C+
9D,Bachelor of Science (Environmental Chemistry),MAT ALTERNATIVE A - C (PLAIN) CHE - C+
10A,Bachelor of Science (Accountancy),MAT ALTERNATIVE A - C+ ENG/KIS - C+
10B,Bachelor of Economics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Arts (Economics & Sociology),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science in Economics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Arts (Economics and Sociology),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Science in Economics & Statistics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Arts in Economics and Sociology,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Economics & Statistics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Arts (Economics),MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Economics and Statistics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
10B,Bachelor of Arts in Economics,MAT ALTERNATIVE A - C+ ENG/KIS - C (PLAIN)
