cluster_code,programme_name,requirements
15A,Bachelor of Science (Animal Health and Production),BIO - C+ CHE/MAT ALTERNATIVE A/PHY- C+
15A,"Bachelor of Science (Animal Health, Production & Processing",BIO - C+ CHE/MAT ALTERNATIVE A/PHY- C+
15A,Bachelor of Science (Animal Production & Health Management),BIO - C+ CHE/MAT ALTERNATIVE A/PHY- C+
15A,Bachelor of Science in Animal Health Management,BIO - C+ CHE/MAT ALTERNATIVE A/PHY- C+
15A,Bachelor of Science in Animal Production,BIO - C+ CHE/MAT ALTERNATIVE A/PHY- C+
15A,Bachelor of Science in Applied Animal Laboratory Science,BIO - C+ CHE/MAT ALTERNATIVE A/PHY- C+
15B,Bachelor of Science (Animal Science & Management),BIO – C+ MAT ALTERNATIVE A/PHY/CHE – C+
15B,"Bachelor of Science (Animal Science, With IT)",BIO – C+ MAT ALTERNATIVE A/PHY/CHE – C+
15B,Bachelor of Science in Animal Science,BIO – C+ MAT ALTERNATIVE A/PHY/CHE – C+
15B,Bachelor of Science in Animal Science & Technology,BIO – C+ MAT ALTERNATIVE A/PHY/CHE – C+
15B,Bachelor of Science in Animal Products Technology,BIO – C+ MAT ALTERNATIVE A/PHY/CHE – C+
15C,Bachelor of Science (Food Nutrition and Dietetics),BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Science (Human Nutrition and Dietetics),BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Science (Food Science and Nutrition),BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Science in Food Science and Nutrition,BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,"Bachelor of Science (Nutrition and Dietetics, With IT)",BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Science in Human Nutrition and Dietetics,BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Science (Food Nutrition & Dietetics),BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Technology (Nutrition and Dietetics),BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Science (Food Science & Nutrition),BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,"Bachelor of Science (Food, Nutrition & Dietetics)",BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15C,Bachelor of Science in Food Nutrition and Dietetics,BIO – C (PLAIN) CHE – C (PLAIN) MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN) ENG/KIS – C (PLAIN)
15D,Bachelor of Science (Fisheries and Aquaculture Management),BIO – C (PLAIN) CHE – C (PLAIN)
15D,"Bachelor of Science (Fisheries and Aquaculture, With IT)",BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science Fisheries Management and Aquaculture Technology,BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science in Fisheries and Aquaculture,BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science (Coastal & Marine Resource Management,BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science (Marine Biology & Fisheries),BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science (Fisheries & Aquatic Sciences),BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science in Aquaculture and Fisheries Technology,BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science in Fisheries and Oceanography,BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science in Marine Resource Management,BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science in Maritime Management (Commercial),BIO – C (PLAIN) CHE – C (PLAIN)
15D,Bachelor of Science (Applied Aquatic Science),BIO – C (PLAIN) CHE – C (PLAIN)
15E,Bachelor of Science (Food Processing Technology),BIO/AGRIC/HSC – C (PLAIN) CHE – C (PLAIN) MATH C - (PLAIN)
15E,Bachelor of Science in Food Science & Technology,BIO/AGRIC/HSC – C (PLAIN) CHE – C (PLAIN) MATH C - (PLAIN)
15E,Bachelor of Science (Food Science & Technology),BIO/AGRIC/HSC – C (PLAIN) CHE – C (PLAIN) MATH C - (PLAIN)
15E,Bachelor of Science (Food Science and Management),BIO/AGRIC/HSC – C (PLAIN) CHE – C (PLAIN) MATH C - (PLAIN)
15E,Bachelor of Science (Food Science and Technology),BIO/AGRIC/HSC – C (PLAIN) CHE – C (PLAIN) MATH C - (PLAIN)
15E,Bachelor of Science (Food Security),BIO/AGRIC/HSC – C (PLAIN) CHE – C (PLAIN) MATH C - (PLAIN)
15E,Bachelor of Science in Food Technology & Quality Assurance,BIO/AGRIC/HSC – C (PLAIN) CHE – C (PLAIN) MATH C - (PLAIN)
15F,Bachelor of Environmental Science,BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Technology (Environmental Resource Management,BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental Studies,BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Science (Environmental Management),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Science in Environmental Studies,BIO/AGR – C+ CHE/GEO – C+
15F,"Bachelor of Science (Environmental Science, With IT)",BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental Studies (Arts),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Science (Environmental Science),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental Studies (Science),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Science in Environmental Science and Technology,BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Science in Environmental Science,BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Science (Environmental Sciences),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental (Environmental Resource Conservation),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental Studies (Community Development),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Science (Bio-resources Management and Conservation),BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental Planning & Development Management,BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental Education,BIO/AGR – C+ CHE/GEO – C+
15F,Bachelor of Environmental Studies and Community Development,BIO/AGR – C+ CHE/GEO – C+
15F,"Bachelor of Science in Environment, Lands and Sustainable Development",BIO/AGR – C+ CHE/GEO – C+
15G,Bachelor of Science in Natural Resources,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Sustainable Energy & Climate Change Systems),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Natural Resource Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Agriculture & Biotechnology),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Natural Resources Management,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Agriculture and Biotechnology),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Nutraceutical Science and Technology),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Agroforestry & Rural Development),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Nutraceutical Science and Technology,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,"Bachelor of Science (Aquatic Resources Conservation and Development, With IT),",BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Utilization & Sustainability of Arid Lands (Usal),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Climate Change and,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Wildlife Enterprises & Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Crop Improvement &,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Wildlife Enterprise & Management,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,"Bachelor of Science (Dryland, Agriculture & Enterprise Development)",BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Natural Resource Management,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Dryland Animal Science),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Soil Environment & Land Use Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Seed Science & Technology,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Environmental Horticulture & Landscaping Technology),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Waste Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Forestry),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Water Resource,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Horticulture),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Ethno botany,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Horticulture,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Agriculture & Human,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Horticultural Science & Management,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Agriculture and Enterprise,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science Horticulture,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Dairy Technology &,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Horticultural Science & Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Leather Technology),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,"Bachelor of Science (Horticulture, With IT)",BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Soil Science),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Range Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Soils & Land Use,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Bio-resources Management and Conservation),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Water and Environment,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Integrated Forest Resources Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Wood Science and Industrial,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Natural Products),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Wood Science and Industrial,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Natural Resources Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Leather Technology),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,"Bachelor of Science (Soil Science, With IT)",BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Soil Science),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Wildlife Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Soils & Land Use,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Wildlife Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Water and Environment Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Agricultural Biotechnology),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Wood Science and Industrial Processes),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Agriculture,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Wood Science and Industrial Processes),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Agriculture),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Water and Environment Management,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Dryland Agriculture),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Land Resource Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Environmental Conservation and Natural Resources Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science (Land Resource Planning & Management),BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,"Bachelor of Science (Agronomy, With IT)",BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
15G,Bachelor of Science in Land Resource Planning & Management,BIO - C PLAIN/AGR – C+ C H E – C (PLAIN) MATH A/PHY/GEO – C (PLAIN)
16A,Bachelor of Arts (Geography),GEO - C+
16A,Bachelor of Science (Geography),GEO - C+
16A,Bachelor of Arts (Geography and Economics),GEO - C+
16A,Bachelor of Arts (Kiswahili and Geography),GEO - C+
16A,"Bachelor of Science (Geography and Natural Resource Management, With IT)",GEO - C+
17A,Bachelor of Arts (French),FRE /GER - C+ GROUP III 2nd GROUP V
17A,"Bachelor of Arts (French, With IT)",FRE /GER - C+ GROUP III 2nd GROUP V
17A,Bachelor of Arts (German),FRE /GER - C+ GROUP III 2nd GROUP V
18A,Bachelor of Arts (Music),MUS - C+
18A,"Bachelor of Arts (Music, With IT)",MUS - C+
18A,Bachelor of Music,MUS - C+
18A,Bachelor of Music (Technology),MUS - C+
19A,Bachelor of Education (Science),MAT ALTERNATIVE A/PHY/CHE/BIO - C+ MAT ALTERNATIVE A/PHY/CHE/BIO - C+
19A,Bachelor of Science with Education,MAT ALTERNATIVE A/PHY/CHE/BIO - C+ MAT ALTERNATIVE A/PHY/CHE/BIO - C+
19A,"Bachelor of Education (Science,With IT)",MAT ALTERNATIVE A/PHY/CHE/BIO - C+ MAT ALTERNATIVE A/PHY/CHE/BIO - C+
19A,Bachelor of Education (Science with IT),MAT ALTERNATIVE A/PHY/CHE/BIO - C+ MAT ALTERNATIVE A/PHY/CHE/BIO - C+
19B,Bachelor of Education (Arts),ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Arts) Fine Art,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Arts) With Guidance and Counselling,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,"Bachelor of Education (Arts, With IT)",ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood),ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Guidance and Counselling),ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education in Early Childhood,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Home Science and Technology),ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Library Science) Education,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education Arts (Home Economics),ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education Arts,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Education (Early Childhood and,ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19B,Bachelor of Arts (With Education),ENG/KIS/MAT ALTERNATIVE ENG/KIS/MAT ALTERNATIVE
19C,Bachelor of Education Arts(Business Studies),MAT ALTERNATIVE A/B / BST- C+ ENG/KIS/MAT ALTERNATIVE
19D,Bachelor of Education (Physical Education and Sports),BIO/GSC - C+ ENG/KIS/MATHEMATICS ALTERNATIVE
19D,Bachelor of Education (Physical Education),BIO/GSC - C+ ENG/KIS/MATHEMATICS ALTERNATIVE
19E,Bachelor of Education (Special Needs Education - Secondary Option),BIO/GSC - C+ MAT ALTERNATIVE A/B
19E,Bachelor of Education (Special Needs Education),BIO/GSC - C+ MAT ALTERNATIVE A/B
19E,Bachelor of Education (Visual and Performing Arts),BIO/GSC - C+ MAT ALTERNATIVE A/B
19F,Bachelor of Education (French),FRENCH - C+ ENG/KIS/MAT ALTERNATIVE
19F,"Bachelor of Education (French, With IT)",FRENCH - C+ ENG/KIS/MAT ALTERNATIVE
19G,Bachelor of Education (Music),MUSIC - C+ ENG/KIS/MAT ALTERNATIVE
19G,"Bachelor of Education (Music, With IT)",MUSIC - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Education (German),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Education (Arts) German,GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Agricultural Education & Extension,GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science (Agricultural Education & Extension),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Agricultural Education and Extension,GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science (Agricultural Extension and Education),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science in Agricultural Extension,GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science (Agriculture Education & Extension),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science (Agriculture Education and Extension),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,"Bachelor of Science (Agriculture Education and Extension, With IT)",GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science Agricultural Extension and Education,GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Education (Agricultural Education),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science (Agricultural Extension Education),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science in Agricultural Education & Extension,GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19H,Bachelor of Science (Agricultural Education and Extension),GERMAN - C+ ENG/KIS/MAT ALTERNATIVE
19J,Bachelor of Education (Computer Studies),With COMP
19J,Bachelor of Education (ICT),With COMP
19K,Bachelor of Education (Agriculture),BIO - C+ AGR - C+/ BIO - C+
20A,"Bachelor of Arts (Religion, With IT)",CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts in Sociology and Religious Studies,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts (Religious Studies),CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,"Bachelor of Arts (Theology, With IT)",CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts (Sociology & Religion),CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Theology,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts in Intercultural Studies,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts in Biblical Studies,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts in Islamic Studies,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts in Church Education Ministries,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts in Islamic Sharia,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
20A,Bachelor of Arts in Christian Ministries,CRE/IRE/HRE - C+ ENG/KIS – C (PLAIN)
